
----------------------------------------------- [START 2024-12-17 18:00:24] ---------------------------------------------------

** start training target model! **
--------|------------- VALID -------------|--- classifier ---|------ Current Best ------|--------------|
  iter  |   loss   top-1   HTER    AUC    |   loss   top-1   |   top-1   HTER    AUC    |    time      |
-------------------------------------------------------------------------------------------------------|

----------------------------------------------- [START 2024-12-17 18:04:15] ---------------------------------------------------

** start training target model! **
--------|------------- VALID -------------|--- classifier ---|------ Current Best ------|--------------|
  iter  |   loss   top-1   HTER    AUC    |   loss   top-1   |   top-1   HTER    AUC    |    time      |
-------------------------------------------------------------------------------------------------------|

----------------------------------------------- [START 2024-12-17 18:07:51] ---------------------------------------------------

** start training target model! **
--------|------------- VALID -------------|--- classifier ---|------ Current Best ------|--------------|
  iter  |   loss   top-1   HTER    AUC    |   loss   top-1   |   top-1   HTER    AUC    |    time      |
-------------------------------------------------------------------------------------------------------|

----------------------------------------------- [START 2024-12-17 18:09:20] ---------------------------------------------------

** start training target model! **
--------|------------- VALID -------------|--- classifier ---|------ Current Best ------|--------------|
  iter  |   loss   top-1   HTER    AUC    |   loss   top-1   |   top-1   HTER    AUC    |    time      |
-------------------------------------------------------------------------------------------------------|

----------------------------------------------- [START 2024-12-17 18:12:02] ---------------------------------------------------

** start training target model! **
--------|------------- VALID -------------|--- classifier ---|------ Current Best ------|--------------|
  iter  |   loss   top-1   HTER    AUC    |   loss   top-1   |   top-1   HTER    AUC    |    time      |
-------------------------------------------------------------------------------------------------------|

----------------------------------------------- [START 2024-12-17 18:12:59] ---------------------------------------------------

** start training target model! **
--------|------------- VALID -------------|--- classifier ---|------ Current Best ------|--------------|
  iter  |   loss   top-1   HTER    AUC    |   loss   top-1   |   top-1   HTER    AUC    |    time      |
-------------------------------------------------------------------------------------------------------|

----------------------------------------------- [START 2024-12-17 18:13:32] ---------------------------------------------------

** start training target model! **
--------|------------- VALID -------------|--- classifier ---|------ Current Best ------|--------------|
  iter  |   loss   top-1   HTER    AUC    |   loss   top-1   |   top-1   HTER    AUC    |    time      |
-------------------------------------------------------------------------------------------------------|
   1.0  |  0.958  78.261  47.087  51.251  |   1.077  39.688  |  78.261  47.087  51.251  |  0 hr 04 min   0.0001
   2.0  |  0.947  70.652  38.348  66.558  |   1.005  55.938  |  70.652  38.348  66.558  |  0 hr 09 min   0.0001
   3.0  |  0.869  77.899  24.760  80.069  |   0.948  63.750  |  77.899  24.760  80.069  |  0 hr 14 min   0.0001
   4.0  |  0.762  82.246  22.087  85.874  |   0.887  69.688  |  82.246  22.087  85.874  |  0 hr 19 min   0.0001
   5.0  |  0.685  83.696  19.174  89.734  |   0.826  73.875  |  83.696  19.174  89.734  |  0 hr 23 min   0.0001
   6.0  |  0.606  85.870  14.805  92.315  |   0.776  76.979  |  85.870  14.805  92.315  |  0 hr 28 min   0.0001
   7.0  |  0.568  84.783  16.261  91.028  |   0.732  79.330  |  85.870  14.805  92.315  |  0 hr 33 min   0.0001
   8.0  |  0.552  85.145  16.261  91.424  |   0.697  80.977  |  85.870  14.805  92.315  |  0 hr 38 min   0.0001
   9.0  |  0.515  84.783  18.934  90.731  |   0.669  82.361  |  85.870  14.805  92.315  |  0 hr 42 min   0.0001
  10.0  |  0.569  80.797  22.087  86.044  |   0.646  83.562  |  85.870  14.805  92.315  |  0 hr 47 min   0.0001
  11.0  |  0.558  80.435  22.087  87.648  |   0.625  84.517  |  85.870  14.805  92.315  |  0 hr 52 min   0.0001
  12.0  |  0.504  83.696  17.718  91.523  |   0.605  85.417  |  85.870  14.805  92.315  |  0 hr 57 min   0.0001
  13.0  |  0.467  85.870  13.108  94.478  |   0.586  86.370  |  85.870  13.108  94.478  |  1 hr 01 min   0.0001
  14.0  |  0.467  85.145  14.805  92.555  |   0.569  87.188  |  85.870  13.108  94.478  |  1 hr 06 min   0.0001
  15.0  |  0.703  70.652  20.390  89.289  |   0.555  87.875  |  85.870  13.108  94.478  |  1 hr 11 min   0.0001
  16.0  |  0.578  76.812  22.087  88.539  |   0.543  88.379  |  85.870  13.108  94.478  |  1 hr 16 min   0.0001
  17.0  |  0.498  80.435  17.958  88.454  |   0.532  88.897  |  85.870  13.108  94.478  |  1 hr 21 min   0.0001
  18.0  |  0.489  81.884  23.544  87.854  |   0.523  89.306  |  85.870  13.108  94.478  |  1 hr 26 min   0.0001
  19.0  |  0.553  76.087  23.544  87.139  |   0.514  89.720  |  85.870  13.108  94.478  |  1 hr 32 min   0.0001
  20.0  |  0.473  81.159  20.631  87.330  |   0.507  90.078  |  85.870  13.108  94.478  |  1 hr 37 min   0.0001
  21.0  |  0.421  84.783  16.261  91.912  |   0.500  90.387  |  85.870  13.108  94.478  |  1 hr 43 min   0.0001
  22.0  |  0.439  85.507  14.805  93.404  |   0.495  90.597  |  85.870  13.108  94.478  |  1 hr 48 min   0.0001
  23.0  |  0.492  82.609  14.564  93.057  |   0.488  90.924  |  85.870  13.108  94.478  |  1 hr 54 min   0.0001
  24.0  |  0.750  66.667  13.348  91.268  |   0.482  91.198  |  85.870  13.108  94.478  |  1 hr 59 min   0.0001
  25.0  |  0.567  77.536  13.589  93.580  |   0.477  91.413  |  85.870  13.108  94.478  |  2 hr 04 min   0.0001
  26.0  |  0.395  86.232  13.108  94.485  |   0.472  91.671  |  86.232  13.108  94.485  |  2 hr 08 min   0.0001
  27.0  |  0.417  85.145  14.805  92.562  |   0.467  91.887  |  86.232  13.108  94.485  |  2 hr 13 min   0.0001
  28.0  |  0.471  82.971  13.348  93.630  |   0.462  92.109  |  86.232  13.108  94.485  |  2 hr 18 min   0.0001
  29.0  |  0.455  83.696  16.021  93.043  |   0.458  92.295  |  86.232  13.108  94.485  |  2 hr 23 min   0.0001
  30.0  |  0.533  78.623  12.868  94.082  |   0.454  92.490  |  86.232  13.108  94.485  |  2 hr 27 min   0.0001
  31.0  |  0.451  86.957  10.195  95.270  |   0.451  92.631  |  86.957  10.195  95.270  |  2 hr 32 min   0.0001
  32.0  |  0.387  87.681  11.652  94.938  |   0.447  92.812  |  86.957  10.195  95.270  |  2 hr 37 min   0.0001
  33.0  |  0.450  85.145  11.652  94.704  |   0.444  92.973  |  86.957  10.195  95.270  |  2 hr 42 min   0.0001
  34.0  |  0.453  85.507  11.652  95.397  |   0.440  93.153  |  85.507  11.652  95.397  |  2 hr 47 min   0.0001
  35.0  |  0.411  86.232  14.805  94.492  |   0.437  93.295  |  85.507  11.652  95.397  |  2 hr 52 min   0.0001
  36.0  |  0.428  84.783  15.045  92.315  |   0.435  93.429  |  85.507  11.652  95.397  |  2 hr 57 min   0.0001
  37.0  |  0.445  85.145  13.348  94.309  |   0.432  93.539  |  85.507  11.652  95.397  |  3 hr 03 min   0.0001
  38.0  |  0.391  88.043  13.348  94.605  |   0.430  93.676  |  85.507  11.652  95.397  |  3 hr 08 min   0.0001
  39.0  |  0.409  86.594  16.261  91.367  |   0.427  93.782  |  85.507  11.652  95.397  |  3 hr 14 min   0.0001
  40.0  |  0.420  86.594  13.589  92.435  |   0.425  93.875  |  85.507  11.652  95.397  |  3 hr 19 min   0.0001
  41.0  |  0.378  85.507  14.805  94.641  |   0.422  94.024  |  85.507  11.652  95.397  |  3 hr 25 min   0.0001
  42.0  |  0.417  85.507  16.502  93.213  |   0.420  94.100  |  85.507  11.652  95.397  |  3 hr 30 min   0.0001
  43.0  |  0.412  85.870  17.718  92.294  |   0.418  94.208  |  85.507  11.652  95.397  |  3 hr 36 min   0.0001
  44.0  |  0.451  84.058  17.718  92.223  |   0.416  94.311  |  85.507  11.652  95.397  |  3 hr 41 min   0.0001
  45.0  |  0.460  83.696  16.261  91.516  |   0.414  94.410  |  85.507  11.652  95.397  |  3 hr 46 min   0.0001
  46.0  |  0.463  82.609  17.958  90.165  |   0.413  94.457  |  85.507  11.652  95.397  |  3 hr 50 min   0.0001
  47.0  |  0.462  83.333  16.261  92.279  |   0.411  94.555  |  85.507  11.652  95.397  |  3 hr 55 min   0.0001
  48.0  |  0.642  71.014  13.348  91.834  |   0.409  94.648  |  85.507  11.652  95.397  |  4 hr 00 min   0.0001
  49.0  |  0.597  72.826  13.348  92.598  |   0.408  94.719  |  85.507  11.652  95.397  |  4 hr 05 min   0.0001
  50.0  |  0.615  73.551  14.805  92.237  |   0.406  94.813  |  85.507  11.652  95.397  |  4 hr 10 min   0.0001
  51.0  |  0.467  83.333  16.261  89.812  |   0.405  94.847  |  85.507  11.652  95.397  |  4 hr 14 min   0.0001
  52.0  |  0.489  82.246  16.261  88.702  |   0.403  94.910  |  85.507  11.652  95.397  |  4 hr 20 min   0.0001
  53.0  |  0.413  86.594  17.718  91.438  |   0.402  94.959  |  85.507  11.652  95.397  |  4 hr 25 min   0.0001
